OrderID,OrderDateTime,CustomerID,Price,Calories
1,2022-01-01 00:00:00,12162,43.22,950
2,2022-01-01 00:00:18,10040,8.8,255
3,2022-01-01 00:00:36,19385,10.47,293
4,2022-01-01 00:00:54,12366,11.52,311
5,2022-01-01 00:01:12,19227,41.28,1362
6,2022-01-01 00:01:30,18600,27.06,920
7,2022-01-01 00:01:48,19611,38.7,1006
8,2022-01-01 00:02:06,13849,24.68,394
9,2022-01-01 00:02:24,13507,37.08,889
10,2022-01-01 00:02:42,17373,7.35,249
11,2022-01-02 01:03:00,12969,8.68,208
12,2022-01-02 01:03:12,15023,11.45,354
13,2022-01-02 01:03:24,15955,7.2,288
14,2022-01-02 01:03:36,18636,37.55,600
15,2022-01-02 01:03:48,15948,18.16,617
16,2022-01-02 01:04:00,10025,14.98,224
17,2022-01-02 01:04:12,13030,11.71,281
18,2022-01-02 01:04:24,13018,5.09,127
19,2022-01-02 01:04:36,10772,28.98,927
20,2022-01-02 01:04:48,14481,47.97,1487
21,2022-01-02 01:05:00,16041,40.46,1132
22,2022-01-02 01:05:12,12450,9.16,265
23,2022-01-02 01:05:24,18304,37.36,1046
24,2022-01-03 02:05:36,13081,9.22,193
25,2022-01-03 02:06:00,15901,41.67,1291
26,2022-01-03 02:06:24,13108,42.86,1200
27,2022-01-03 02:06:48,19329,9.47,369
28,2022-01-03 02:07:12,14893,12.13,448
29,2022-01-03 02:07:36,12580,49.71,1690
30,2022-01-03 02:08:00,12698,36.31,544
31,2022-01-03 02:08:24,11536,31.06,745
32,2022-01-03 02:08:48,16990,22.36,581
33,2022-01-03 02:09:12,14948,9.5,361
34,2022-01-03 02:09:36,16527,45.18,1490
35,2022-01-03 02:10:00,12685,11.36,181
36,2022-01-03 02:10:24,15424,12.23,354
37,2022-01-03 02:10:48,12322,46.33,1575
38,2022-01-03 02:11:12,12162,25.77,721
39,2022-01-04 03:11:36,17305,17.64,335
40,2022-01-04 03:11:54,18889,7.57,227
41,2022-01-04 03:12:12,12060,49.32,1085
42,2022-01-04 03:12:30,17792,28.0,868
43,2022-01-04 03:12:48,13945,36.9,1070
44,2022-01-04 03:13:06,12289,48.26,772
45,2022-01-04 03:13:24,11690,15.67,329
46,2022-01-04 03:13:42,16580,32.52,487
47,2022-01-04 03:14:00,13348,20.9,501
48,2022-01-04 03:14:18,14538,22.99,344
49,2022-01-04 03:14:36,12756,26.16,732
50,2022-01-05 04:14:54,19181,22.05,661
51,2022-01-05 04:15:18,18673,23.29,721
52,2022-01-05 04:15:42,19680,30.91,865
53,2022-01-05 04:16:06,19143,26.95,485
54,2022-01-05 04:16:30,17997,18.21,546
55,2022-01-05 04:16:54,16580,18.02,648
56,2022-01-05 04:17:18,13962,27.22,1088
57,2022-01-05 04:17:42,13384,40.79,1631
58,2022-01-05 04:18:06,10358,45.02,855
59,2022-01-05 04:18:30,10362,39.85,1075
60,2022-01-05 04:18:54,19336,21.25,403
61,2022-01-05 04:19:18,11532,47.21,1557
62,2022-01-06 05:19:42,12963,37.25,1378
63,2022-01-06 05:20:08,10271,45.82,1053
64,2022-01-06 05:20:34,14262,23.37,911
65,2022-01-06 05:21:00,14302,31.91,797
66,2022-01-06 05:21:26,14481,10.86,228
67,2022-01-06 05:21:52,12915,12.3,209
68,2022-01-06 05:22:18,13771,23.87,358
69,2022-01-06 05:22:44,12595,47.89,1388
70,2022-01-06 05:23:10,17117,27.89,864
71,2022-01-06 05:23:36,12650,42.44,679
72,2022-01-07 06:24:02,12292,22.63,339
73,2022-01-07 06:24:59,18276,45.13,1173
74,2022-01-07 06:25:56,13108,11.02,341
75,2022-01-07 06:26:53,18345,6.11,219
76,2022-01-07 06:27:50,15555,21.62,475
77,2022-01-07 06:28:47,11811,6.66,219
78,2022-01-07 06:29:44,17825,29.92,1196
79,2022-01-07 06:30:41,19737,44.3,930
80,2022-01-07 06:31:38,16865,45.06,1306
81,2022-01-07 06:32:35,18417,21.78,631
82,2022-01-07 06:33:32,16299,27.37,1094
83,2022-01-07 06:34:29,18295,30.14,994
84,2022-01-07 06:35:26,19704,23.27,791
85,2022-01-08 07:36:23,18132,30.77,584
86,2022-01-08 07:36:48,15478,45.01,990
87,2022-01-08 07:37:13,13985,49.21,1574
88,2022-01-08 07:37:38,13253,39.02,1131
89,2022-01-08 07:38:03,13904,11.49,356
90,2022-01-08 07:38:28,19023,22.79,866
91,2022-01-08 07:38:53,11506,9.24,231
92,2022-01-08 07:39:18,19193,46.29,1481
93,2022-01-08 07:39:43,10181,35.86,968
94,2022-01-08 07:40:08,16143,30.27,1059
95,2022-01-08 07:40:33,18240,39.52,988
96,2022-01-08 07:40:58,11997,41.12,699
97,2022-01-09 08:41:23,10441,45.67,776
98,2022-01-09 08:42:10,15128,11.53,392
99,2022-01-09 08:42:57,19085,43.03,1118
100,2022-01-09 08:43:44,13413,5.67,175
101,2022-01-09 08:44:31,16280,27.59,1048
102,2022-01-09 08:45:18,15402,36.31,1270
103,2022-01-09 08:46:05,13604,13.41,201
104,2022-01-09 08:46:52,18708,39.24,941
105,2022-01-09 08:47:39,13286,41.05,1190
106,2022-01-09 08:48:26,18158,18.73,543
107,2022-01-09 08:49:13,12501,27.01,594
